--------------- %d -------------- 512
512 10 10  3.202E-21
512 10 9  1.608E-17
512 10 8  1.812E-14
512 10 7  8.054E-12
512 10 6  1.758E-09
512 10 5  2.102E-07
512 10 4  1.451E-05
--------------- %d -------------- 1024
1024 20 20  1.825E-42
1024 20 19  3.664E-38
1024 20 18  1.746E-34
1024 20 17  3.498E-31
1024 20 16  3.721E-28
1024 20 15  2.381E-25
1024 20 14  9.912E-23
1024 20 13  2.826E-20
1024 20 12  5.724E-18
1024 20 11  8.446E-16
1024 20 10  9.244E-14
1024 20 9  7.594E-12
1024 20 8  4.713E-10
1024 20 7  2.213E-08
--------------- %d -------------- 1536
1536 30 30  9.031E-64
1536 30 29  4.080E-59
1536 30 28  4.452E-55
1536 30 27  2.083E-51
1536 30 26  5.283E-48
1536 30 25  8.253E-45
1536 30 24  8.602E-42
1536 30 23  6.320E-39
1536 30 22  3.405E-36
1536 30 21  1.385E-33
1536 30 20  4.355E-31
1536 30 19  1.077E-28
1536 30 18  2.124E-26
1536 30 17  3.380E-24
1536 30 16  4.377E-22
1536 30 15  4.644E-20
1536 30 14  4.057E-18
1536 30 13  2.928E-16
1536 30 12  1.749E-14
1536 30 11  8.653E-13
--------------- %d -------------- 2048
2048 40 40  4.216E-85
2048 40 39  3.386E-80
2048 40 38  6.627E-76
2048 40 37  5.613E-72
2048 40 36  2.602E-68
2048 40 35  7.510E-65
2048 40 34  1.462E-61
2048 40 33  2.032E-58
2048 40 32  2.096E-55
2048 40 31  1.656E-52
2048 40 30  1.026E-49
2048 40 29  5.084E-47
2048 40 28  2.045E-44
2048 40 27  6.762E-42
2048 40 26  1.858E-39
2048 40 25  4.282E-37
2048 40 24  8.333E-35
2048 40 23  1.379E-32
2048 40 22  1.948E-30
2048 40 21  2.363E-28
2048 40 20  2.467E-26
2048 40 19  2.225E-24
2048 40 18  1.735E-22
2048 40 17  1.173E-20
2048 40 16  6.870E-19
2048 40 15  3.489E-17
2048 40 14  1.535E-15
--------------- %d -------------- 2560
2560 51 51 3.874E-108
2560 51 50 4.957E-103
2560 51 49  1.554E-98
2560 51 48  2.121E-94
2560 51 47  1.595E-90
2560 51 46  7.510E-87
2560 51 45  2.403E-83
2560 51 44  5.523E-80
2560 51 43  9.501E-77
2560 51 42  1.261E-73
2560 51 41  1.324E-70
2560 51 40  1.122E-67
2560 51 39  7.782E-65
2560 51 38  4.484E-62
2560 51 37  2.170E-59
2560 51 36  8.903E-57
2560 51 35  3.123E-54
2560 51 34  9.428E-52
2560 51 33  2.465E-49
2560 51 32  5.614E-47
2560 51 31  1.118E-44
2560 51 30  1.957E-42
2560 51 29  3.017E-40
2560 51 28  4.114E-38
2560 51 27  4.971E-36
2560 51 26  5.337E-34
2560 51 25  5.099E-32
2560 51 24  4.342E-30
2560 51 23  3.299E-28
2560 51 22  2.238E-26
2560 51 21  1.357E-24
2560 51 20  7.351E-23
2560 51 19  3.558E-21
2560 51 18  1.537E-19
--------------- %d -------------- 3072
3072 61 61 1.711E-129
3072 61 60 3.143E-124
3072 61 59 1.419E-119
3072 61 58 2.799E-115
3072 61 57 3.052E-111
3072 61 56 2.092E-107
3072 61 55 9.784E-104
3072 61 54 3.300E-100
3072 61 53  8.364E-97
3072 61 52  1.643E-93
3072 61 51  2.566E-90
3072 61 50  3.245E-87
3072 61 49  3.380E-84
3072 61 48  2.939E-81
3072 61 47  2.158E-78
3072 61 46  1.351E-75
3072 61 45  7.273E-73
3072 61 44  3.392E-70
3072 61 43  1.379E-67
3072 61 42  4.917E-65
3072 61 41  1.545E-62
3072 61 40  4.295E-60
3072 61 39  1.061E-57
3072 61 38  2.339E-55
