5, 11, 16, 20, 25, 29, 41, 48, 49, 51, 66, 76, 77, 82, 90, 94, 99, 101, 107, 111, 112, 118, 122, 123, 125, 140, 150, 152, 165, 166, 170, 183, 203, 214, 223, 2031, 2035, 2040, 2044, 2047, 
1491, 1492, 1498, 1503, 1524, 1542, 1546, 1558, 1575, 1580, 1584, 1591, 1592, 1601, 1603, 1607, 1610, 1613, 1614, 1623, 1624, 1645, 1668, 1683, 1743, 1749, 1790, 1801, 1821, 1895, 1917, 1948, 1949, 1969, 1993, 2003, 2028, 2034, 2039, 2045, 
526, 528, 532, 547, 553, 560, 567, 593, 626, 642, 644, 661, 742, 749, 752, 753, 754, 759, 765, 773, 788, 799, 802, 889, 905, 907, 909, 956, 959, 975, 977, 985, 1000, 1012, 1013, 1024, 1066, 1271, 1415, 1485, 
57, 158, 217, 274, 493, 1441, 1447, 1494, 1501, 1504, 1520, 1536, 1553, 1555, 1556, 1559, 1562, 1563, 1571, 1576, 1578, 1579, 1616, 1687, 1689, 1723, 1748, 1756, 1785, 1788, 1794, 1802, 1816, 1819, 1820, 1834, 1843, 1865, 1958, 2017, 
287, 307, 326, 327, 346, 370, 393, 402, 412, 427, 437, 452, 499, 512, 529, 535, 539, 559, 568, 572, 640, 653, 670, 678, 701, 706, 713, 721, 783, 843, 851, 862, 873, 936, 949, 1132, 1145, 1255, 1306, 1405, 
1, 37, 68, 81, 92, 124, 219, 248, 267, 363, 421, 463, 508, 537, 562, 665, 667, 694, 724, 795, 848, 899, 923, 951, 1002, 1022, 1050, 1238, 1266, 1349, 1369, 1389, 1413, 1505, 1513, 1552, 1564, 1692, 1797, 1826, 
1822, 1840, 1841, 1844, 1845, 1864, 1876, 1886, 1887, 1893, 1895, 1917, 1941, 1948, 1949, 1953, 1957, 1969, 1974, 1975, 1986, 1993, 1996, 2000, 2003, 2012, 2013, 2014, 2017, 2019, 2021, 2028, 2029, 2030, 2034, 2035, 2039, 2041, 2042, 2045, 
7, 48, 121, 163, 241, 266, 345, 523, 624, 711, 833, 932, 1049, 1331, 1340, 1354, 1367, 1368, 1373, 1380, 1382, 1383, 1392, 1395, 1401, 1408, 1414, 1418, 1422, 1426, 1428, 1445, 1464, 1491, 1503, 1575, 1584, 1592, 1749, 1790, 
547, 553, 560, 567, 593, 626, 642, 644, 661, 742, 749, 752, 753, 754, 759, 765, 773, 788, 799, 802, 889, 905, 907, 909, 956, 959, 975, 977, 985, 1000, 1012, 1013, 1024, 1042, 1059, 1066, 1075, 1271, 1415, 1485, 
5, 25, 49, 51, 53, 66, 89, 90, 94, 110, 182, 217, 256, 274, 313, 322, 344, 359, 392, 396, 419, 464, 467, 493, 603, 604, 627, 646, 688, 696, 766, 768, 774, 958, 981, 1003, 1040, 1088, 2031, 2040, 
