0000 [40/-1] - 5, 7, 11, 16, 20, 25, 29, 41, 49, 51, 66, 76, 77, 82, 90, 94, 101, 107, 111, 112, 118, 122, 123, 140, 150, 152, 166, 170, 183, 2015, 2018, 2024, 2027, 2031, 2032, 2035, 2040, 2044, 2046, 2047, 
0001 [40/0] - 1659, 1672, 1673, 1675, 1682, 1707, 1709, 1734, 1741, 1757, 1758, 1761, 1786, 1793, 1804, 1812, 1822, 1833, 1840, 1841, 1844, 1845, 1864, 1866, 1876, 1886, 1887, 1893, 1950, 1955, 1959, 1975, 1978, 1986, 1996, 2012, 2014, 2021, 2029, 2042, 
0002 [40/0] - 1054, 1059, 1075, 1081, 1090, 1099, 1110, 1125, 1153, 1163, 1170, 1179, 1183, 1186, 1192, 1210, 1218, 1230, 1234, 1235, 1260, 1275, 1304, 1323, 1324, 1336, 1338, 1343, 1374, 1390, 1411, 1446, 1459, 1470, 1477, 1483, 1487, 1530, 1583, 1658, 
0003 [40/0] - 53, 55, 83, 89, 110, 304, 305, 342, 359, 360, 392, 418, 419, 431, 474, 478, 516, 710, 715, 792, 853, 872, 898, 963, 1045, 1853, 1855, 1867, 1882, 1888, 1908, 1916, 1918, 1926, 1933, 1936, 1940, 1953, 1972, 1974, 
0004 [40/0] - 957, 970, 971, 1004, 1017, 1085, 1093, 1102, 1112, 1129, 1171, 1189, 1200, 1213, 1217, 1224, 1236, 1307, 1309, 1344, 1361, 1377, 1385, 1404, 1406, 1430, 1431, 1462, 1493, 1518, 1539, 1619, 1630, 1639, 1655, 1666, 1698, 1705, 1787, 1806, 
0005 [40/0] - 6, 24, 75, 78, 114, 133, 143, 147, 155, 156, 159, 162, 193, 207, 232, 250, 334, 347, 428, 435, 461, 487, 497, 533, 639, 755, 886, 929, 930, 937, 1023, 1057, 1071, 1314, 1429, 1665, 1702, 1715, 1912, 1964, 
0006 [40/0] - 1812, 1822, 1833, 1840, 1841, 1844, 1845, 1864, 1866, 1876, 1886, 1887, 1893, 1917, 1918, 1941, 1949, 1950, 1953, 1955, 1957, 1959, 1974, 1975, 1978, 1986, 1996, 2000, 2012, 2014, 2015, 2019, 2021, 2029, 2030, 2035, 2039, 2041, 2042, 2044, 
0007 [40/0] - 64, 165, 298, 548, 563, 751, 828, 885, 950, 955, 1019, 1032, 1069, 1098, 1113, 1451, 1454, 1465, 1472, 1486, 1488, 1524, 1542, 1546, 1591, 1607, 1613, 1614, 1623, 1645, 1659, 1673, 1675, 1682, 1707, 1757, 1758, 1761, 1793, 1804, 
0008 [40/0] - 1011, 1047, 1079, 1081, 1090, 1099, 1110, 1125, 1153, 1163, 1170, 1179, 1183, 1186, 1192, 1210, 1218, 1230, 1234, 1235, 1260, 1275, 1304, 1323, 1324, 1336, 1338, 1343, 1374, 1390, 1411, 1446, 1459, 1470, 1477, 1483, 1487, 1530, 1583, 1658, 
0009 [40/0] - 16, 20, 29, 41, 76, 77, 82, 166, 224, 231, 349, 356, 371, 462, 491, 622, 687, 739, 747, 772, 777, 832, 852, 882, 896, 986, 998, 1018, 1025, 1026, 1031, 1034, 1043, 1046, 1051, 1053, 1054, 1065, 1067, 1074, 
0010 [40/0] - 55, 107, 118, 183, 203, 223, 237, 255, 258, 270, 295, 300, 314, 321, 328, 342, 353, 380, 391, 431, 449, 450, 474, 476, 498, 583, 587, 605, 633, 710, 720, 779, 792, 801, 883, 891, 894, 898, 916, 1045, 
0011 [40/0] - 2, 84, 199, 290, 316, 327, 357, 370, 402, 412, 427, 559, 572, 606, 640, 653, 670, 701, 721, 783, 873, 936, 949, 970, 1017, 1085, 1093, 1102, 1112, 1189, 1200, 1217, 1236, 1377, 1385, 1430, 1655, 1666, 1698, 2005, 
0012 [40/0] - 200, 228, 229, 236, 261, 296, 302, 1041, 1052, 1062, 1137, 1469, 1475, 1478, 1479, 1480, 1482, 1492, 1498, 1500, 1502, 1521, 1523, 1525, 1533, 1573, 1589, 1594, 1595, 1615, 1812, 1821, 1866, 1918, 1955, 1959, 1961, 2015, 2020, 2044, 
