0000 [40/-1] - 11, 51, 94, 107, 112, 118, 153, 169, 170, 181, 195, 214, 218, 251, 252, 255, 257, 258, 274, 321, 323, 324, 328, 339, 344, 349, 353, 380, 382, 395, 406, 440, 449, 450, 2012, 2014, 2031, 2035, 2040, 2044, 
0001 [40/87,5] - 11, 25, 29, 51, 66, 94, 101, 107, 112, 118, 125, 153, 169, 170, 181, 195, 214, 218, 251, 252, 255, 257, 258, 274, 321, 323, 324, 328, 339, 344, 353, 380, 382, 395, 440, 449, 2014, 2031, 2035, 2044, 
0002 [40/95] - 11, 25, 29, 51, 66, 94, 101, 107, 112, 118, 125, 153, 169, 170, 171, 181, 195, 214, 218, 251, 252, 255, 257, 258, 274, 321, 323, 324, 328, 339, 344, 353, 380, 382, 395, 406, 440, 449, 2031, 2044, 
0003 [40/100] - 11, 25, 29, 51, 66, 94, 101, 107, 112, 118, 125, 153, 169, 170, 171, 181, 195, 214, 218, 251, 252, 255, 257, 258, 274, 321, 323, 324, 328, 339, 344, 353, 380, 382, 395, 406, 440, 449, 2031, 2044, 
0004 [40/0] - 116, 247, 1001, 1021, 1046, 1066, 1127, 1157, 1158, 1183, 1284, 1293, 1317, 1321, 1344, 1359, 1362, 1383, 1401, 1418, 1451, 1520, 1525, 1528, 1613, 1621, 1649, 1654, 1672, 1731, 1753, 1788, 1822, 1887, 1932, 1961, 1965, 1986, 2013, 2037, 
0005 [40/0] - 1450, 1454, 1464, 1472, 1482, 1486, 1488, 1491, 1492, 1503, 1511, 1521, 1543, 1580, 1592, 1624, 1668, 1683, 1694, 1717, 1729, 1743, 1749, 1784, 1801, 1817, 1821, 1837, 1846, 1870, 1917, 1941, 1948, 1949, 1951, 1960, 1969, 2028, 2034, 2041, 
0006 [40/0] - 673, 696, 697, 703, 734, 742, 746, 753, 759, 765, 768, 773, 778, 788, 806, 833, 902, 909, 956, 975, 981, 983, 985, 986, 993, 1013, 1024, 1039, 1064, 1130, 1152, 1160, 1208, 1228, 1245, 1247, 1271, 1281, 1353, 1415, 
0007 [40/0] - 22, 40, 44, 47, 53, 60, 70, 74, 80, 89, 99, 109, 115, 128, 146, 158, 163, 185, 186, 188, 191, 225, 244, 283, 297, 313, 317, 319, 358, 374, 384, 424, 436, 472, 524, 593, 635, 2017, 2020, 2039, 
0008 [40/0] - 1282, 1294, 1298, 1311, 1313, 1320, 1326, 1328, 1339, 1345, 1350, 1381, 1441, 1447, 1448, 1494, 1499, 1501, 1516, 1555, 1559, 1561, 1563, 1575, 1579, 1584, 1612, 1618, 1626, 1656, 1676, 1684, 1685, 1695, 1706, 1712, 1850, 1900, 1931, 1958, 
0009 [40/0] - 546, 559, 561, 569, 577, 592, 629, 637, 657, 670, 678, 705, 709, 711, 714, 728, 744, 752, 794, 796, 798, 812, 815, 819, 831, 838, 842, 843, 851, 867, 910, 941, 942, 968, 984, 996, 1061, 1142, 1207, 1264, 
0010 [40/0] - 12, 21, 35, 56, 57, 63, 69, 76, 84, 86, 90, 105, 111, 131, 139, 140, 151, 152, 173, 176, 182, 196, 197, 199, 211, 217, 287, 338, 354, 370, 381, 402, 437, 451, 452, 455, 467, 486, 499, 512, 
0011 [40/0] - 3, 865, 870, 918, 920, 926, 934, 987, 1022, 1071, 1073, 1074, 1082, 1109, 1132, 1134, 1136, 1201, 1223, 1229, 1233, 1248, 1255, 1266, 1279, 1300, 1306, 1314, 1329, 1378, 1405, 1435, 1436, 1460, 1577, 1641, 1679, 1699, 1710, 1781, 
0012 [40/0] - 1, 5, 20, 37, 48, 190, 200, 213, 219, 223, 232, 246, 267, 290, 318, 326, 337, 537, 562, 652, 684, 694, 723, 848, 850, 900, 908, 1002, 1050, 1308, 1505, 1701, 1719, 1738, 1826, 1903, 1906, 1911, 1967, 2032, 
0013 [40/0] - 1845, 1846, 1860, 1864, 1870, 1876, 1886, 1887, 1892, 1895, 1917, 1932, 1941, 1947, 1948, 1949, 1951, 1960, 1961, 1965, 1969, 1971, 1975, 1986, 1993, 1995, 1996, 2000, 2003, 2013, 2017, 2020, 2028, 2029, 2034, 2035, 2037, 2041, 2042, 2045, 
