Column1,Column2
0,-1
1,100
2,100
3,100
4,100
5,100
6,100
7,100
8,100
9,100
10,100
11,100
12,100
13,100
14,100
15,100
16,100
17,100
18,100
19,100
20,100
21,100
22,100
23,100
24,100
25,100
26,100
27,100
28,100
29,100
30,100
31,100
32,100
33,100
34,100
35,100
36,100
37,100
38,100
39,100
40,100
41,100
42,100
43,100
44,100
45,100
46,100
47,100
48,100
49,100
50,100
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,40
88,100
89,100
90,100
91,100
92,100
93,100
94,100
95,100
96,92.5
97,27.5
98,5
99,5
100,7.5
101,25
102,100
103,55
104,7.5
105,7.5
106,5
107,7.5
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,7.5
116,7.5
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,12.5
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,7.5
137,37.5
138,60
139,92.5
140,95
141,100
142,100
143,100
144,92.5
145,47.5
146,37.5
147,25
148,22.5
149,22.5
150,77.5
151,32.5
152,12.5
153,2.5
154,2.5
155,20
156,10
157,5
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,7.5
178,7.5
179,0
180,0
181,0
182,0
183,0
184,12.5
185,32.5
186,70
187,85
188,90
189,97.5
190,100
191,92.5
192,52.5
193,42.5
194,42.5
195,37.5
196,37.5
197,57.5
198,47.5
199,37.5
200,37.5
201,0
202,0
203,0
204,0
205,2.5
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,5
232,25
233,40
234,82.5
235,90
236,95
237,95
238,90
239,52.5
240,42.5
241,42.5
242,37.5
243,37.5
244,55
245,55
246,37.5
247,37.5
248,12.5
249,0
250,0
251,0
252,5
253,5
254,0
255,0
256,0
257,0
258,2.5
259,2.5
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,17.5
278,0
279,0
280,17.5
281,47.5
282,67.5
283,87.5
284,92.5
285,92.5
286,80
287,45
288,45
289,37.5
290,37.5
291,35
292,35
293,47.5
294,37.5
295,37.5
296,32.5
297,0
298,0
299,0
300,20
301,20
302,37.5
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,12.5
322,0
323,0
324,0
325,10
326,10
327,15
328,20
329,37.5
330,42.5
331,77.5
332,77.5
333,82.5
334,82.5
335,45
336,42.5
337,42.5
338,45
339,40
340,40
341,42.5
342,42.5
343,42.5
344,37.5
345,12.5
346,12.5
347,7.5
348,7.5
349,35
350,30
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,20
376,37.5
377,60
378,70
379,70
380,80
381,37.5
382,37.5
383,45
384,45
385,37.5
386,37.5
387,47.5
388,37.5
389,37.5
390,42.5
391,15
392,15
393,32.5
394,7.5
395,7.5
396,25
397,12.5
398,2.5
399,2.5
400,0
401,0
402,0
403,5
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,5
415,0
416,0
417,0
418,0
419,0
420,0
421,30
422,17.5
423,17.5
424,55
425,70
426,70
427,32.5
428,32.5
429,37.5
430,37.5
431,35
432,35
433,45
434,42.5
435,42.5
436,37.5
437,12.5
438,12.5
439,42.5
440,32.5
441,17.5
442,17.5
443,5
444,5
445,12.5
446,10
447,0
448,0
449,7.5
450,5
451,5
452,5
453,5
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,5
463,0
464,0
465,0
466,0
467,0
468,30
469,30
470,32.5
471,37.5
472,40
473,65
474,37.5
475,37.5
476,37.5
477,37.5
478,47.5
479,50
480,50
481,40
482,40
483,37.5
484,17.5
485,17.5
486,37.5
487,37.5
488,25
489,22.5
490,2.5
491,2.5
492,7.5
493,20
494,0
495,0
496,0
497,17.5
498,17.5
499,0
500,0
501,17.5
502,27.5
503,12.5
504,10
505,5
506,0
507,0
508,0
509,5
510,12.5
511,12.5
512,0
513,0
514,0
515,0
516,15
517,37.5
518,37.5
519,37.5
520,37.5
521,37.5
522,37.5
523,37.5
524,40
525,42.5
526,42.5
527,40
528,40
529,30
530,30
531,42.5
532,7.5
533,7.5
534,27.5
535,42.5
536,40
537,7.5
538,5
539,5
540,10
541,15
542,20
543,0
544,0
545,10
546,25
547,0
548,0
549,2.5
550,15
551,0
552,0
553,0
554,0
555,0
556,0
557,5
558,5
559,17.5
560,0
561,0
562,2.5
563,2.5
564,35
565,37.5
566,37.5
567,30
568,30
569,22.5
570,22.5
571,40
572,45
573,45
574,37.5
575,37.5
576,37.5
577,37.5
578,37.5
579,22.5
580,22.5
581,22.5
582,40
583,37.5
