Global 

               | I-00            | I-01            | I-02            | I-03            | I-04            | I-05            | I-06            | I-07            | I-08            | I-09            |
 --------------- | --------------- | --------------- | --------------- | --------------- | --------------- | --------------- | --------------- | --------------- | --------------- | --------------- |
 I-00            | 100/100         | 92.86/67.5      | 85.71/52.5      | 78.57/32.5      | 71.43/22.5      | 64.29/15        | 57.14/10        | 50/2.5          | 42.86/0         | 35.71/0         |
 I-01            | 92.86/67.5      | 100/100         | 92.86/67.5      | 85.71/45        | 78.57/25        | 71.43/17.5      | 64.29/10        | 57.14/5         | 50/2.5          | 42.86/2.5       |
 I-02            | 85.71/52.5      | 92.86/67.5      | 100/100         | 92.86/55        | 85.71/32.5      | 78.57/22.5      | 71.43/15        | 64.29/12.5      | 57.14/7.5       | 50/5            |
 I-03            | 78.57/32.5      | 85.71/45        | 92.86/55        | 100/100         | 92.86/70        | 85.71/55        | 78.57/40        | 71.43/32.5      | 64.29/20        | 57.14/17.5      |
 I-04            | 71.43/22.5      | 78.57/25        | 85.71/32.5      | 92.86/70        | 100/100         | 92.86/75        | 85.71/55        | 78.57/42.5      | 71.43/27.5      | 64.29/22.5      |
 I-05            | 64.29/15        | 71.43/17.5      | 78.57/22.5      | 85.71/55        | 92.86/75        | 100/100         | 92.86/72.5      | 85.71/50        | 78.57/37.5      | 71.43/32.5      |
 I-06            | 57.14/10        | 64.29/10        | 71.43/15        | 78.57/40        | 85.71/55        | 92.86/72.5      | 100/100         | 92.86/67.5      | 85.71/60        | 78.57/52.5      |
 I-07            | 50/2.5          | 57.14/5         | 64.29/12.5      | 71.43/32.5      | 78.57/42.5      | 85.71/50        | 92.86/67.5      | 100/100         | 92.86/77.5      | 85.71/62.5      |
 I-08            | 42.86/0         | 50/2.5          | 57.14/7.5       | 64.29/20        | 71.43/27.5      | 78.57/37.5      | 85.71/60        | 92.86/77.5      | 100/100         | 92.86/77.5      |
 I-09            | 35.71/0         | 42.86/2.5       | 50/5            | 57.14/17.5      | 64.29/22.5      | 71.43/32.5      | 78.57/52.5      | 85.71/62.5      | 92.86/77.5      | 100/100         |

Local


                | I-00            | I-01            | I-02            | I-03            | I-04            | I-05            | I-06            | I-07            | I-08            | I-09            |
 --------------- | --------------- | --------------- | --------------- | --------------- | --------------- | --------------- | --------------- | --------------- | --------------- | --------------- |
 I-00            | 100/100         | 92.86/93.72     | 85.71/90.39     | 78.57/87.99     | 71.43/85.58     | 64.29/82.07     | 57.14/80.59     | 50/78.02        | 42.86/75.55     | 35.71/72.74     |
 I-01            | 92.86/93.72     | 100/100         | 92.86/94.58     | 85.71/91.78     | 78.57/88.83     | 71.43/85.42     | 64.29/83.05     | 57.14/79.67     | 50/76.84        | 42.86/73.85     |
 I-02            | 85.71/90.39     | 92.86/94.58     | 100/100         | 92.86/95.46     | 85.71/90.88     | 78.57/87.67     | 71.43/83.8      | 64.29/80.22     | 57.14/77.39     | 50/74.22        |
 I-03            | 78.57/87.99     | 85.71/91.78     | 92.86/95.46     | 100/100         | 92.86/94.23     | 85.71/90.55     | 78.57/86.78     | 71.43/83.15     | 64.29/79.78     | 57.14/77.16     |
 I-04            | 71.43/85.58     | 78.57/88.83     | 85.71/90.88     | 92.86/94.23     | 100/100         | 92.86/93.48     | 85.71/90.88     | 78.57/87.36     | 71.43/84.19     | 64.29/81.03     |
 I-05            | 64.29/82.07     | 71.43/85.42     | 78.57/87.67     | 85.71/90.55     | 92.86/93.48     | 100/100         | 92.86/93.67     | 85.71/89.38     | 78.57/85.11     | 71.43/81.77     |
 I-06            | 57.14/80.59     | 64.29/83.05     | 71.43/83.8      | 78.57/86.78     | 85.71/90.88     | 92.86/93.67     | 100/100         | 92.86/94.51     | 85.71/89.34     | 78.57/85.45     |
 I-07            | 50/78.02        | 57.14/79.67     | 64.29/80.22     | 71.43/83.15     | 78.57/87.36     | 85.71/89.38     | 92.86/94.51     | 100/100         | 92.86/93.04     | 85.71/88.64     |
 I-08            | 42.86/75.55     | 50/76.84        | 57.14/77.39     | 64.29/79.78     | 71.43/84.19     | 78.57/85.11     | 85.71/89.34     | 92.86/93.04     | 100/100         | 92.86/94.67     |
 I-09            | 35.71/72.74     | 42.86/73.85     | 50/74.22        | 57.14/77.16     | 64.29/81.03     | 71.43/81.77     | 78.57/85.45     | 85.71/88.64     | 92.86/94.67     | 100/100         |

