TaxiPassangerPredictionExperiment637836390594551834.txt
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :16.666666666666664 	 
cycle : 2 	 Accuracy :20.833333333333336 	 
Cycle: 3 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 1
cycle : 4 	 Accuracy :16.666666666666664 	 
cycle : 5 	 Accuracy :33.33333333333333 	 
cycle : 6 	 Accuracy :20.833333333333336 	 
cycle : 7 	 Accuracy :37.5 	 
cycle : 8 	 Accuracy :33.33333333333333 	 
cycle : 9 	 Accuracy :54.166666666666664 	 
cycle : 10 	 Accuracy :62.5 	 
Cycle: 11 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
cycle : 12 	 Accuracy :50 	 
cycle : 13 	 Accuracy :70.83333333333334 	 
cycle : 14 	 Accuracy :54.166666666666664 	 
cycle : 15 	 Accuracy :58.333333333333336 	 
cycle : 16 	 Accuracy :70.83333333333334 	 
cycle : 17 	 Accuracy :79.16666666666666 	 
cycle : 18 	 Accuracy :66.66666666666666 	 
cycle : 19 	 Accuracy :79.16666666666666 	 
cycle : 20 	 Accuracy :75 	 
Cycle: 21 	 Saturated Accuracy : 75 	 Number of times repeated 1
cycle : 22 	 Accuracy :66.66666666666666 	 
cycle : 23 	 Accuracy :75 	 
cycle : 24 	 Accuracy :66.66666666666666 	 
cycle : 25 	 Accuracy :70.83333333333334 	 
cycle : 26 	 Accuracy :75 	 
cycle : 27 	 Accuracy :70.83333333333334 	 
cycle : 28 	 Accuracy :66.66666666666666 	 
cycle : 29 	 Accuracy :62.5 	 
cycle : 30 	 Accuracy :75 	 
cycle : 31 	 Accuracy :58.333333333333336 	 
cycle : 32 	 Accuracy :66.66666666666666 	 
cycle : 33 	 Accuracy :70.83333333333334 	 
cycle : 34 	 Accuracy :79.16666666666666 	 
cycle : 35 	 Accuracy :70.83333333333334 	 
cycle : 36 	 Accuracy :79.16666666666666 	 
cycle : 37 	 Accuracy :75 	 
Cycle: 38 	 Saturated Accuracy : 75 	 Number of times repeated 1
cycle : 39 	 Accuracy :70.83333333333334 	 
cycle : 40 	 Accuracy :66.66666666666666 	 
cycle : 41 	 Accuracy :75 	 
cycle : 42 	 Accuracy :70.83333333333334 	 
cycle : 43 	 Accuracy :75 	 
Cycle: 44 	 Saturated Accuracy : 75 	 Number of times repeated 1
cycle : 45 	 Accuracy :70.83333333333334 	 
Cycle: 46 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 1
cycle : 47 	 Accuracy :75 	 
cycle : 48 	 Accuracy :70.83333333333334 	 
cycle : 49 	 Accuracy :79.16666666666666 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :0 	 
cycle : 4 	 Accuracy :0 	 
cycle : 5 	 Accuracy :0 	 
cycle : 6 	 Accuracy :0 	 
cycle : 7 	 Accuracy :0 	 
cycle : 8 	 Accuracy :0 	 
cycle : 9 	 Accuracy :0 	 
cycle : 10 	 Accuracy :0 	 
cycle : 11 	 Accuracy :0 	 
cycle : 12 	 Accuracy :0 	 
cycle : 13 	 Accuracy :0 	 
cycle : 14 	 Accuracy :0 	 
cycle : 15 	 Accuracy :0 	 
cycle : 16 	 Accuracy :0 	 
cycle : 17 	 Accuracy :0 	 
cycle : 18 	 Accuracy :0 	 
cycle : 19 	 Accuracy :0 	 
cycle : 20 	 Accuracy :0 	 
cycle : 21 	 Accuracy :0 	 
cycle : 22 	 Accuracy :0 	 
cycle : 23 	 Accuracy :0 	 
cycle : 24 	 Accuracy :0 	 
cycle : 25 	 Accuracy :0 	 
cycle : 26 	 Accuracy :0 	 
cycle : 27 	 Accuracy :0 	 
cycle : 28 	 Accuracy :0 	 
cycle : 29 	 Accuracy :0 	 
cycle : 30 	 Accuracy :0 	 
cycle : 31 	 Accuracy :0 	 
cycle : 32 	 Accuracy :0 	 
cycle : 33 	 Accuracy :0 	 
cycle : 34 	 Accuracy :0 	 
cycle : 35 	 Accuracy :0 	 
cycle : 36 	 Accuracy :0 	 
cycle : 37 	 Accuracy :0 	 
cycle : 38 	 Accuracy :0 	 
cycle : 39 	 Accuracy :0 	 
cycle : 40 	 Accuracy :0 	 
cycle : 41 	 Accuracy :0 	 
cycle : 42 	 Accuracy :0 	 
cycle : 43 	 Accuracy :0 	 
cycle : 44 	 Accuracy :0 	 
cycle : 45 	 Accuracy :0 	 
cycle : 46 	 Accuracy :0 	 
cycle : 47 	 Accuracy :0 	 
cycle : 48 	 Accuracy :0 	 
cycle : 49 	 Accuracy :0 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :8.333333333333332 	 
cycle : 2 	 Accuracy :29.166666666666668 	 
cycle : 3 	 Accuracy :25 	 
cycle : 4 	 Accuracy :33.33333333333333 	 
cycle : 5 	 Accuracy :25 	 
cycle : 6 	 Accuracy :29.166666666666668 	 
cycle : 7 	 Accuracy :33.33333333333333 	 
cycle : 8 	 Accuracy :29.166666666666668 	 
cycle : 9 	 Accuracy :25 	 
cycle : 10 	 Accuracy :33.33333333333333 	 
cycle : 11 	 Accuracy :41.66666666666667 	 
cycle : 12 	 Accuracy :29.166666666666668 	 
cycle : 13 	 Accuracy :45.83333333333333 	 
cycle : 14 	 Accuracy :37.5 	 
Cycle: 15 	 Saturated Accuracy : 37.5 	 Number of times repeated 1
cycle : 16 	 Accuracy :41.66666666666667 	 
cycle : 17 	 Accuracy :45.83333333333333 	 
cycle : 18 	 Accuracy :33.33333333333333 	 
cycle : 19 	 Accuracy :41.66666666666667 	 
cycle : 20 	 Accuracy :29.166666666666668 	 
cycle : 21 	 Accuracy :41.66666666666667 	 
cycle : 22 	 Accuracy :45.83333333333333 	 
cycle : 23 	 Accuracy :41.66666666666667 	 
cycle : 24 	 Accuracy :33.33333333333333 	 
cycle : 25 	 Accuracy :37.5 	 
cycle : 26 	 Accuracy :33.33333333333333 	 
cycle : 27 	 Accuracy :41.66666666666667 	 
Cycle: 28 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
cycle : 29 	 Accuracy :45.83333333333333 	 
cycle : 30 	 Accuracy :41.66666666666667 	 
cycle : 31 	 Accuracy :50 	 
cycle : 32 	 Accuracy :37.5 	 
cycle : 33 	 Accuracy :45.83333333333333 	 
Cycle: 34 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
cycle : 35 	 Accuracy :50 	 
cycle : 36 	 Accuracy :45.83333333333333 	 
cycle : 37 	 Accuracy :37.5 	 
cycle : 38 	 Accuracy :41.66666666666667 	 
Cycle: 39 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
cycle : 40 	 Accuracy :33.33333333333333 	 
cycle : 41 	 Accuracy :41.66666666666667 	 
cycle : 42 	 Accuracy :37.5 	 
cycle : 43 	 Accuracy :33.33333333333333 	 
cycle : 44 	 Accuracy :29.166666666666668 	 
cycle : 45 	 Accuracy :41.66666666666667 	 
cycle : 46 	 Accuracy :29.166666666666668 	 
cycle : 47 	 Accuracy :33.33333333333333 	 
cycle : 48 	 Accuracy :37.5 	 
cycle : 49 	 Accuracy :33.33333333333333 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :25 	 
cycle : 2 	 Accuracy :37.5 	 
cycle : 3 	 Accuracy :50 	 
cycle : 4 	 Accuracy :37.5 	 
cycle : 5 	 Accuracy :41.66666666666667 	 
cycle : 6 	 Accuracy :54.166666666666664 	 
cycle : 7 	 Accuracy :62.5 	 
cycle : 8 	 Accuracy :45.83333333333333 	 
cycle : 9 	 Accuracy :33.33333333333333 	 
cycle : 10 	 Accuracy :58.333333333333336 	 
cycle : 11 	 Accuracy :54.166666666666664 	 
cycle : 12 	 Accuracy :62.5 	 
cycle : 13 	 Accuracy :70.83333333333334 	 
cycle : 14 	 Accuracy :79.16666666666666 	 
cycle : 15 	 Accuracy :54.166666666666664 	 
cycle : 16 	 Accuracy :70.83333333333334 	 
cycle : 17 	 Accuracy :62.5 	 
cycle : 18 	 Accuracy :8.333333333333332 	 
cycle : 19 	 Accuracy :25 	 
cycle : 20 	 Accuracy :16.666666666666664 	 
cycle : 21 	 Accuracy :25 	 
cycle : 22 	 Accuracy :33.33333333333333 	 
cycle : 23 	 Accuracy :37.5 	 
cycle : 24 	 Accuracy :29.166666666666668 	 
Cycle: 25 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 1
Cycle: 26 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 2
cycle : 27 	 Accuracy :33.33333333333333 	 
cycle : 28 	 Accuracy :41.66666666666667 	 
cycle : 29 	 Accuracy :29.166666666666668 	 
Cycle: 30 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 1
cycle : 31 	 Accuracy :37.5 	 
cycle : 32 	 Accuracy :25 	 
cycle : 33 	 Accuracy :37.5 	 
cycle : 34 	 Accuracy :29.166666666666668 	 
cycle : 35 	 Accuracy :33.33333333333333 	 
Cycle: 36 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 1
cycle : 37 	 Accuracy :29.166666666666668 	 
cycle : 38 	 Accuracy :37.5 	 
cycle : 39 	 Accuracy :29.166666666666668 	 
cycle : 40 	 Accuracy :41.66666666666667 	 
cycle : 41 	 Accuracy :37.5 	 
cycle : 42 	 Accuracy :33.33333333333333 	 
cycle : 43 	 Accuracy :29.166666666666668 	 
Cycle: 44 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 1
cycle : 45 	 Accuracy :41.66666666666667 	 
Cycle: 46 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
cycle : 47 	 Accuracy :37.5 	 
cycle : 48 	 Accuracy :33.33333333333333 	 
Cycle: 49 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 1
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :20.833333333333336 	 
cycle : 2 	 Accuracy :16.666666666666664 	 
cycle : 3 	 Accuracy :29.166666666666668 	 
Cycle: 4 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 1
Cycle: 5 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 2
cycle : 6 	 Accuracy :33.33333333333333 	 
cycle : 7 	 Accuracy :37.5 	 
cycle : 8 	 Accuracy :25 	 
Cycle: 9 	 Saturated Accuracy : 25 	 Number of times repeated 1
cycle : 10 	 Accuracy :29.166666666666668 	 
Cycle: 11 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 1
Cycle: 12 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 2
Cycle: 13 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 3
Cycle: 14 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 4
cycle : 15 	 Accuracy :25 	 
Cycle: 16 	 Saturated Accuracy : 25 	 Number of times repeated 1
Cycle: 17 	 Saturated Accuracy : 25 	 Number of times repeated 2
cycle : 18 	 Accuracy :29.166666666666668 	 
cycle : 19 	 Accuracy :33.33333333333333 	 
Cycle: 20 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 1
Cycle: 21 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 2
cycle : 22 	 Accuracy :37.5 	 
Cycle: 23 	 Saturated Accuracy : 37.5 	 Number of times repeated 1
cycle : 24 	 Accuracy :41.66666666666667 	 
cycle : 25 	 Accuracy :50 	 
cycle : 26 	 Accuracy :41.66666666666667 	 
cycle : 27 	 Accuracy :37.5 	 
Cycle: 28 	 Saturated Accuracy : 37.5 	 Number of times repeated 1
Cycle: 29 	 Saturated Accuracy : 37.5 	 Number of times repeated 2
Cycle: 30 	 Saturated Accuracy : 37.5 	 Number of times repeated 3
Cycle: 31 	 Saturated Accuracy : 37.5 	 Number of times repeated 4
Cycle: 32 	 Saturated Accuracy : 37.5 	 Number of times repeated 5
Cycle: 33 	 Saturated Accuracy : 37.5 	 Number of times repeated 6
Cycle: 34 	 Saturated Accuracy : 37.5 	 Number of times repeated 7
Cycle: 35 	 Saturated Accuracy : 37.5 	 Number of times repeated 8
Cycle: 36 	 Saturated Accuracy : 37.5 	 Number of times repeated 9
cycle : 37 	 Accuracy :41.66666666666667 	 
Cycle: 38 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
Cycle: 39 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 2
Cycle: 40 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 3
Cycle: 41 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 4
cycle : 42 	 Accuracy :45.83333333333333 	 
cycle : 43 	 Accuracy :41.66666666666667 	 
Cycle: 44 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
Cycle: 45 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 2
Cycle: 46 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 3
cycle : 47 	 Accuracy :45.83333333333333 	 
Cycle: 48 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
Cycle: 49 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 2
****Sequence Ending*****
