TaxiPassangerPredictionExperiment637837599358625914.txt
******Sequence Starting*****
cycle : 0 	 Accuracy :12.5 	 
cycle : 1 	 Accuracy :20.833333333333336 	 
cycle : 2 	 Accuracy :12.5 	 
Cycle: 3 	 Saturated Accuracy : 12.5 	 Number of times repeated 1
cycle : 4 	 Accuracy :29.166666666666668 	 
cycle : 5 	 Accuracy :37.5 	 
cycle : 6 	 Accuracy :50 	 
cycle : 7 	 Accuracy :58.333333333333336 	 
cycle : 8 	 Accuracy :54.166666666666664 	 
cycle : 9 	 Accuracy :45.83333333333333 	 
cycle : 10 	 Accuracy :50 	 
cycle : 11 	 Accuracy :45.83333333333333 	 
cycle : 12 	 Accuracy :54.166666666666664 	 
cycle : 13 	 Accuracy :58.333333333333336 	 
cycle : 14 	 Accuracy :54.166666666666664 	 
cycle : 15 	 Accuracy :66.66666666666666 	 
cycle : 16 	 Accuracy :62.5 	 
cycle : 17 	 Accuracy :66.66666666666666 	 
cycle : 18 	 Accuracy :54.166666666666664 	 
cycle : 19 	 Accuracy :58.333333333333336 	 
cycle : 20 	 Accuracy :66.66666666666666 	 
cycle : 21 	 Accuracy :70.83333333333334 	 
cycle : 22 	 Accuracy :66.66666666666666 	 
cycle : 23 	 Accuracy :62.5 	 
cycle : 24 	 Accuracy :70.83333333333334 	 
cycle : 25 	 Accuracy :62.5 	 
cycle : 26 	 Accuracy :66.66666666666666 	 
Cycle: 27 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
cycle : 28 	 Accuracy :70.83333333333334 	 
cycle : 29 	 Accuracy :50 	 
cycle : 30 	 Accuracy :58.333333333333336 	 
cycle : 31 	 Accuracy :75 	 
cycle : 32 	 Accuracy :62.5 	 
cycle : 33 	 Accuracy :70.83333333333334 	 
cycle : 34 	 Accuracy :66.66666666666666 	 
Cycle: 35 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
Cycle: 36 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 2
Cycle: 37 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 3
Cycle: 38 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 4
Cycle: 39 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 5
cycle : 40 	 Accuracy :75 	 
cycle : 41 	 Accuracy :66.66666666666666 	 
cycle : 42 	 Accuracy :70.83333333333334 	 
Cycle: 43 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 1
cycle : 44 	 Accuracy :66.66666666666666 	 
cycle : 45 	 Accuracy :75 	 
cycle : 46 	 Accuracy :66.66666666666666 	 
